gtin,pname,vname,vlocation
8107880253013,"Cowboy Up - Texas Outlaw.mp4","Cowboy Up.mp4",/media/pi/VIDEOS/videos
8107880229711,"Adrenaline Rush Fountain Firework - Hog Wild 2017","Adrenaline Rush.mp4",/media/pi/VIDEOS/videos
8107880228714,"BIG CITY LIGHTS - Hog Wild","Big City Lights.mp4",/media/pi/VIDEOS/videos
8143270147210,"Clowning Around","Clowning Around.mp4",/media/pi/VIDEOS/videos
8107880228813,"FIREFALL - Texas Outlaw.mp4",Firefall.mp4,/media/pi/VIDEOS/videos
8107880226611,"OUTLAW FOUNTAIN - Texas Outlaw","Outlaw Fountain.mp4",/media/pi/VIDEOS/videos
8143270142413,"POKING THE BEAR - Red Rhino","Poking the Bear.mp4",/media/pi/VIDEOS/videos
8107880229414,"Under The Sea - Hog Wild Fireworks","Under the Sea.mp4",/media/pi/VIDEOS/videos
191970102211,"American Maiden","American Maiden.mp4",/media/pi/VIDEOS/videos
8107880229612,"One Final Shot Fountain - 2017 Preview Teaser - Texas Outlaw Fireworks","One Final Shot Fountain - 2017 Preview Teaser - Texas Outlaw Fireworks.mp4",/media/pi/VIDEOS/videos
191970102112,"Orange Crush","Orange Crush.mp4",/media/pi/VIDEOS/videos
8143270145018,"Twilight Fright","Twilight Fright.mp4",/media/pi/VIDEOS/videos
8143270148118,"Color Blossom","Color Blossom.mp4",/media/pi/VIDEOS/videos
8107880228516,"Daddy's Shoes","Daddy's Shoes.mp4",/media/pi/VIDEOS/videos
8143270142918,"Founder's Day","Founder's Day.mp4",/media/pi/VIDEOS/videos
191970100712,"Here Fishy Fishy","Here Fishy Fishy.mp4",/media/pi/VIDEOS/videos
191970101115,"Holiday Road","Holiday Road.mp4",/media/pi/VIDEOS/videos
191970101092,"Liquid Fire","Liquid Fire.mp4",/media/pi/VIDEOS/videos
8143270142314,"Magic Door","Magic Door.mp4",/media/pi/VIDEOS/videos
8143270144011,"Mexican Jumping Beans","Mexican Jumping Beans.mp4",/media/pi/VIDEOS/videos
8143270142611,"Midnight Vixen","Midnight Vixen.mp4",/media/pi/VIDEOS/videos
191970100811,"Modern Design","Modern Design.mp4",/media/pi/VIDEOS/videos
8143270147616,"Neon Patriot","Neon Patriot.mp4",/media/pi/VIDEOS/videos
8107880226819,"Powerful Fountain","Powerful Fountain.mp4",/media/pi/VIDEOS/videos
8107880229315,"Spiced Up","Spiced Up.mp4",/media/pi/VIDEOS/videos
8143270147814,"Star Dust","Star Dust.mp4",/media/pi/VIDEOS/videos
8107880229513,"Summer Spritz","Summer Spritz.mp4",/media/pi/VIDEOS/videos
8143270148019,"Surf's Up","Surf's Up.mp4",/media/pi/VIDEOS/videos
8107880214014,"Texas Sword","Texas Sword.mp4",/media/pi/VIDEOS/videos
8143270147715,"Top Back","Top Back.mp4",/media/pi/VIDEOS/videos
8143270147913,"Warrior Princess","Texas Sword.mp4",/media/pi/VIDEOS/videos
8143270180118,"91 Shot Saturn Missile","91 Shot Saturn Missile.mp4",/media/pi/VIDEOS/videos
8107880221715,"200 Shot Saturn Crackling Tail","Saturn Missiles 200.mp4",/media/pi/VIDEOS/videos
8143270180415,"300 Shot Saturn Battery","Saturn Missiles 300.mp4",/media/pi/VIDEOS/videos
8143270158216,"She's A Beauty Fountain - Red Rhino Fireworks","She's A Beauty Fountain.mp4",/media/pi/VIDEOS/videos
8143270170218,"Muscle Car Classics","Muscle Car Classics.mp4",/media/pi/VIDEOS/videos
191970108213,"Profit Box Compilation","Profit Box Compilation.mp4",/media/pi/VIDEOS/videos
8107880250012,"25 gun salute","25 gun salute.mp4",/media/pi/VIDEOS/videos
8107880250418,"Battle in the Sky","Battle in the Sky.mp4",/media/pi/VIDEOS/videos
8107880250517,"Beach Nut","Beach Nut.mp4",/media/pi/VIDEOS/videos
8107880250814,"Born on the Bayou","Born on the Bayou.mp4",/media/pi/VIDEOS/videos
8107880250913,"Bounty Hunter","Bounty Hunter.mp4",/media/pi/VIDEOS/videos
8143270173110,"Caribbean Dreams","Caribbean Dreams.mp4",/media/pi/VIDEOS/videos
8143270156410,"Cat Fight","Cat Fight.mp4",/media/pi/VIDEOS/videos
8143270150418,"Coco Loco","Coco Loco.mp4",/media/pi/VIDEOS/videos
8143270150517,"Coconut Grove Song","Coconut Grove Song.mp4",/media/pi/VIDEOS/videos
8143270150814,"Color Pearl Flower 96 Shot","Color Pearl Flower 96 Shot.mp4",/media/pi/VIDEOS/videos
8107880254119,Crusher,Crusher.mp4,/media/pi/VIDEOS/videos
8143270150913,"Desert At Night","Desert At Night.mp4",/media/pi/VIDEOS/videos
8143270157011,"Eye Candy","Eye Candy.mp4",/media/pi/VIDEOS/videos
8107880252115,"Fiery Fantasia","Fiery Fantasia.mp4",/media/pi/VIDEOS/videos
8107880255215,Gamefish,Gamefish.mp4,/media/pi/VIDEOS/videos
8107880251712,"High Velocity","High Velocity.mp4",/media/pi/VIDEOS/videos
8143270151910,"Hyper II","Hyper II.mp4",/media/pi/VIDEOS/videos
8107880257110,"Knight Stick","Knight Stick.mp4",/media/pi/VIDEOS/videos
8143270152313,"Little Nemo","Little Nemo.mp4",/media/pi/VIDEOS/videos
8143270152511,"Magical Barrage","Magical Barrage.mp4",/media/pi/VIDEOS/videos
8143270157417,"Monkey Business","Monkey Business.mp4",/media/pi/VIDEOS/videos
8143270157219,Monstrous,Monstrous.mp4,/media/pi/VIDEOS/videos
8143270156311,"Moto Madness","Moto Madness.mp4",/media/pi/VIDEOS/videos
8143270150319,"No Trespassing","No Trespassing.mp4",/media/pi/VIDEOS/videos
8107880254614,"Nude Beach","Nude Beach.mp4",/media/pi/VIDEOS/videos
8107880252818,"Outlaw Crazy","Outlaw Crazy.mp4",/media/pi/VIDEOS/videos
8107880254713,"Outlaw Ruckus","Outlaw Ruckus.mp4",/media/pi/VIDEOS/videos
8143270153013,Powerball,Powerball.mp4,/media/pi/VIDEOS/videos
8107880255017,"Red Heaven","Red Heaven.mp4",/media/pi/VIDEOS/videos
8107880259916,"Rustler Reunion","Rustler Reunion.mp4",/media/pi/VIDEOS/videos
8107880255710,"Stars and Stripes","Stars and Stripes.mp4",/media/pi/VIDEOS/videos
8107880252214,"Surfer Girl","Surfer Girl.mp4",/media/pi/VIDEOS/videos
8107880256212,"Texas Rooter","Texas Rooter.mp4",/media/pi/VIDEOS/videos
8107880256618,"USA Proud","USA Proud.mp4",/media/pi/VIDEOS/videos
8143270156717,"White Tiger","White Tiger.mp4",/media/pi/VIDEOS/videos
8143270157615,"Widow's Kiss","Widow's Kiss.mp4",/media/pi/VIDEOS/videos
8143270158018,"Yo Vito","Yo Vito.mp4",/media/pi/VIDEOS/videos
8143270180019,"Saturn Missiles 25","Saturn Missiles 25.mp4",/media/pi/VIDEOS/videos
8143270180613,"325 Shot Saturn Missile","325 Shot Saturn Missile.mp4",/media/pi/VIDEOS/videos
8107880222514,"Texas Battery 504 Shot","Texas Battery 504 Shot.mp4",/media/pi/VIDEOS/videos
8143270180811,"800 Shot Saturn Missile","800 Shot Saturn Missile.mp4",/media/pi/VIDEOS/videos
8107880221418,"Saturn Missiles 50","Saturn Missiles 50.mp4",/media/pi/VIDEOS/videos
8143270165917,"4th Of July Cocktail","4th Of July Cocktail.mp4",/media/pi/VIDEOS/videos
8143270195518,"American Glory - Red Rhino Fireworks","American Glory.mp4",/media/pi/VIDEOS/videos
8107880273011,"BACK ROAD REBEL - Texas Outlaw","Backroad Rebel.mp4",/media/pi/VIDEOS/videos
8143270160813,"BATTER UP - Red Rhino","Batter Up!.mp4",/media/pi/VIDEOS/videos
8107880265719,"Blazin Gun - Texas Outlaw Fireworks","Blazin' Gun.mp4",/media/pi/VIDEOS/videos
8107880274711,"BORN FREE - Texas Outlaw","Born Free.mp4",/media/pi/VIDEOS/videos
8143270195617,"Clocked Out","Clocked Out.mp4",/media/pi/VIDEOS/videos
8143270196119,"Dawn of Time - 500g Cake - Red Rhino Fireworks","Dawn of Time.mp4",/media/pi/VIDEOS/videos
8143270195211,"El Toro","El Toro.mp4",/media/pi/VIDEOS/videos
8107880276210,"Fire Of Battle","Fire Of Battle.mp4",/media/pi/VIDEOS/videos
8143270195112,"Free Ride","Free Ride.mp4",/media/pi/VIDEOS/videos
8107880275619,"Jet Fire - Hog Wild","Jet Fire.mp4",/media/pi/VIDEOS/videos
8107880268413,"Let Freedom Ring","Let Freedom Ring.mp4",/media/pi/VIDEOS/videos
8143270160219,"Liberty Belle","Liberty Belle.mp4",/media/pi/VIDEOS/videos
8107880271116,"MASQUERADE - Hog Wild",Masquerade.mp4,/media/pi/VIDEOS/videos
8143270166914,"Need For Speed","Need For Speed.mp4",/media/pi/VIDEOS/videos
8143270162718,"Red Rhino Nemo",Nemo.mp4,/media/pi/VIDEOS/videos
